Ballot Order,Category,Mainstream Pick,Mainstream %,With Polymarket Pick,With Polymarket %,Market Leader,Closest Challenger,Helpful Inputs,Why,Nominees
11,Directing,One Battle after Another - Paul Thomas Anderson,91,One Battle after Another - Paul Thomas Anderson,92,Paul Thomas Anderson - 94%,Ryan Coogler - Sinners,Vanity Fair; New Yorker; Variety snippet; Deadline snippet; DGA; BAFTA; Polymarket,"This looks close to done. Anderson won DGA and BAFTA, and both Vanity Fair and The New Yorker say this is where he finally gets his directing Oscar.",Hamnet - Chloé Zhao | Marty Supreme - Josh Safdie | One Battle after Another - Paul Thomas Anderson | Sentimental Value - Joachim Trier | Sinners - Ryan Coogler
12,Documentary Feature Film,The Perfect Neighbor,61,The Perfect Neighbor,62,The Perfect Neighbor - 65%,Mr. Nobody against Putin,Vanity Fair; Critics Choice; Independent Spirit; Polymarket,Vanity Fair's call lines up with the strongest late-season documentary resume: Critics Choice plus Independent Spirit. That makes The Perfect Neighbor the safest ballot answer even if docs can spring surprises.,The Alabama Solution | Come See Me in the Good Light | Cutting through Rocks | Mr. Nobody against Putin | The Perfect Neighbor
13,Documentary Short Film,All the Empty Rooms,62,All the Empty Rooms,63,All the Empty Rooms - 66%,Armed Only with a Camera: The Life and Death of Brent Renaud,Vanity Fair; Polymarket,"Vanity Fair and Polymarket both put All the Empty Rooms in front. That's enough for a pool pick, but I still treat any short as medium-risk.",All the Empty Rooms | Armed Only with a Camera: The Life and Death of Brent Renaud | Children No More: 'Were and Are Gone' | The Devil Is Busy | Perfectly a Strangeness
14,Film Editing,One Battle after Another,74,One Battle after Another,75,One Battle after Another - 77%,F1,Vanity Fair; BAFTA; ACE context; Polymarket,"Editing is part of the One Battle after Another best-picture/directing package. BAFTA went there, and the market has widened the gap enough that I'd follow it.",F1 | Marty Supreme | One Battle after Another | Sentimental Value | Sinners
15,International Feature Film,Sentimental Value,54,Sentimental Value,56,Sentimental Value - 62%,The Secret Agent,Vanity Fair; New Yorker; BAFTA; Golden Globes; LA Times snippet; Polymarket,"This is a legit two-way split. Vanity Fair and BAFTA lean Sentimental Value, while The New Yorker and the Globe point to The Secret Agent. I give Sentimental Value a slight edge because the BAFTA plus market combo feels more Oscar-adjacent at the finish line.",The Secret Agent | It Was Just an Accident | Sentimental Value | Sirât | The Voice of Hind Rajab
16,Live Action Short Film,Two People Exchanging Saliva,44,Two People Exchanging Saliva,45,Two People Exchanging Saliva - 46%,A Friend of Dorothy,Vanity Fair; Polymarket,"Vanity Fair and Polymarket both shade this toward Two People Exchanging Saliva. That is enough for a pool answer, but the live-action short field is still close.",Butcher's Stain | A Friend of Dorothy | Jane Austen's Period Drama | The Singers | Two People Exchanging Saliva
17,Makeup and Hairstyling,Frankenstein,90,Frankenstein,90,Frankenstein - 90%,Sinners,Vanity Fair; BAFTA; Polymarket,Frankenstein has the classic makeup branch profile and cleaned up the major precursor that matters most here. Easy checkbox.,Frankenstein | Kokuho | Sinners | The Smashing Machine | The Ugly Stepsister
18,Original Score,Sinners,93,Sinners,93,Sinners - 94%,One Battle after Another,Vanity Fair; Golden Globes; Critics Choice; BAFTA; Polymarket,"Score is one of the cleanest Sinners calls on the board: Globe, Critics Choice, BAFTA, Vanity Fair, and Polymarket all line up here.",Bugonia | Frankenstein | Hamnet | One Battle after Another | Sinners
19,Original Song,'Golden' - KPop Demon Hunters,89,'Golden' - KPop Demon Hunters,88,'Golden' - 87%,'I Lied To You' - Sinners,Vanity Fair; Golden Globes; Polymarket,"Golden already won the Globe, gets the Vanity Fair pick, and Polymarket keeps it well ahead. I would not get cute here.",'Dear Me' - Diane Warren: Relentless | 'Golden' - KPop Demon Hunters | 'I Lied To You' - Sinners | 'Sweet Dreams Of Joy' - Viva Verdi! | 'Train Dreams' - Train Dreams
20,Production Design,Frankenstein,88,Frankenstein,89,Frankenstein - 90%,Sinners,Vanity Fair; Deadline snippet; BAFTA; Polymarket,"This is another Frankenstein tech race. BAFTA and Vanity Fair both point there, and even Deadline's indexed snippet did too.",Frankenstein | Hamnet | Marty Supreme | One Battle after Another | Sinners
21,Sound,F1,75,F1,76,F1 - 79%,Sinners,Vanity Fair; CAS; MPSE context; Polymarket,"F1 has the best sound-specific precursor on the board after taking the CAS top prize, and Vanity Fair also calls it. This feels sturdier than the picture titles in the category.",F1 | Frankenstein | One Battle after Another | Sinners | Sirât
22,Visual Effects,Avatar: Fire and Ash,91,Avatar: Fire and Ash,92,Avatar: Fire and Ash - 93%,F1 / Sinners,Vanity Fair; VES; Polymarket,Visual Effects is doing what this category usually does: follow the biggest technical branch signal. Avatar won the VES prize and gets Vanity Fair's vote too.,Avatar: Fire and Ash | F1 | Jurassic World Rebirth | The Lost Bus | Sinners
23,Adapted Screenplay,One Battle after Another,94,One Battle after Another,95,One Battle after Another - 96%,Hamnet,Vanity Fair; New Yorker; Critics Choice; WGA; BAFTA; Polymarket,"This race is basically the safest One Battle after Another checkmark: Critics Choice, WGA, BAFTA, Vanity Fair, and The New Yorker all have it.",Bugonia | Frankenstein | Hamnet | One Battle after Another | Train Dreams
24,Original Screenplay,Sinners,94,Sinners,95,Sinners - 96%,Sentimental Value,Vanity Fair; New Yorker; Critics Choice; WGA; BAFTA; Polymarket,"Original Screenplay has become the cleanest Sinners play: WGA, BAFTA, Vanity Fair, The New Yorker, and the market all align.",Blue Moon | It Was Just an Accident | Marty Supreme | Sentimental Value | Sinners

Extra credit
,Length of Show (Tiebreaker),"3 hours, 32 minutes",,,,,,,"ABC affiliates are scheduling the ceremony to hand off around 10:32 p.m. ET, which makes 3:32 my best tiebreaker guess. The official ceremony start is 7 p.m. ET / 4 p.m. PT.",
,Worst Dressed Attendee (Extra Credit),Timothée Chalamet,,,,,,,"Pure fashion-risk dart throw, not data. He is a likely attendee and one of the nominees most likely to take a big menswear swing.",
